node_id,mag_paper_id,title,class_idx
0,9657784,evasion attacks against machine learning at test time,4
1,39886162,how hard is computing parity with noisy communications,5
2,116214155,on the absence of the rip in real world applications of compressed sensing and the rip in levels,28
3,121432379,a promise theory perspective on data networks,8
4,231147053,analysis of asymptotically optimal sampling based motion planning algorithms for lipschitz continuous dynamical systems,27
5,1196386999,the edge group coloring problem with applications to multicast switching,34
6,1444859417,webvrgis based city bigdata 3d visualization and analysis,6
7,1483430697,information theoretic authentication and secrecy codes in the splitting model,4
8,1486601621,whealth transforming telehealth services,3
9,1495847259,nonparametric decentralized sequential detection via universal source coding,28
10,1500126713,online learning in decentralized multiuser resource sharing problems,24
11,1512190626,truthful secretaries with budgets,36
12,1524631297,improving the bound on the rip constant in generalized orthogonal matching pursuit,28
13,1525384803,a system for reflection in c,22
14,1528301850,a bi level view of inpainting based image compression,16
15,1537465387,distributed graph automata,33
16,1539916885,randomness efficient rumor spreading,34
17,1542788159,back to the past source identification in diffusion networks from partially observed cascades,26
18,1544145018,bayesian two sample tests,24
19,1546946208,electrical structure based pmu placement in electric power systems,19
20,1550373401,on state dependent broadcast channels with cooperation,28
21,1551937652,detecting simultaneous integer relations for several real vectors,14
22,1553895888,shannon meets carnot mutual information via thermodynamics,28
23,1555565700,on list decodability of random rank metric codes,28
24,1556595261,dealing with run time variability in service robotics towards a dsl for non functional properties,27
25,1561232457,a characterisation of context sensitive languages by consensus games,33
26,1561890487,data structures for approximate range counting,34
27,1566387761,holographic transformation for quantum factor graphs,28
28,1573599372,rooted trees with probabilities revisited,28
29,1578902217,time critical social mobilization,3
30,1581827225,homomorphic encryption theory and application,4
31,1585744708,learning transformations for clustering and classification,16
32,1586330215,methods for integrating knowledge with the three weight optimization algorithm for hybrid cognitive processing,10
33,1591405962,csma local area networking under dynamic altruism,8
34,1595098738,face frontalization for alignment and recognition,16
35,1596723206,from bounded affine types to automatic timing analysis,22
36,1601434380,an efficient way to perform the assembly of finite element matrices in matlab and octave,0
37,1606458877,how auto encoders could provide credit assignment in deep networks via target propagation,24
38,1607460189,constrained parametric proposals and pooling methods for semantic segmentation in rgb d images,16
39,1615334113,cooperative game theoretic solution concepts for top k problems,26
40,1618900328,regulation and the integrity of spreadsheets in the information supply chain,3
41,1623729836,reconfigurable wireless networks,8
42,1633846131,contact representations of sparse planar graphs,20
43,1634869392,modularity aspects of disjunctive stable models,2
44,1650363355,replica symmetric bound for restricted isometry constant,28
45,1657294604,pushdown abstractions of javascript,22
46,1661863441,a notion of robustness for cyber physical systems,19
47,1665243225,entropy rate for hidden markov chains with rare transitions,28
48,1665669548,memristors can implement fuzzy logic,18
49,1667633038,asymptotic capacity of wireless ad hoc networks with realistic links under a honey comb topology,28
50,1670829281,on the performance of selection cooperation with imperfect channel estimation,28
51,1681484497,informetric analyses of knowledge organization systems koss,38
52,1682705844,latent topic models for hypertext,31
53,1698782162,complete security framework for wireless sensor networks,4
54,1717093152,neural dissimilarity indices that predict oddball detection in behaviour,28
55,1720451657,network maps of technology fields a comparative analysis of relatedness measures,26
56,1738519518,continuous double auction mechanism and bidding strategies in cloud computing markets,5
57,1740018295,the abc problem for gabor systems,28
58,1754384483,inference less density estimation using copula bayesian networks,24
59,1769594948,optimal detection of intersections between convex polyhedra,20
60,1774345111,limits of rush hour logic complexity,9
61,1777784767,new separation between s f and bs f,9
62,1791983455,a survey on handover management in mobility architectures,8
63,1798241237,many task computing and blue waters,5
64,1812070052,identifying reliable annotations for large scale image segmentation,16
65,1814471488,improved analysis for subspace pursuit algorithm in terms of restricted isometry constant,28
66,1815334329,squares of 3 sun free split graphs,9
67,1816985167,tree dynamics for peer to peer streaming,34
68,1818292367,stochastic ordering of interferences in large scale wireless networks,28
69,1818296812,earthquake disaster based efficient resource utilization technique in iaas cloud,5
70,1823940520,on descriptional complexity of the planarity problem for gauss words,33
71,1824996543,multi access mimo systems with finite rate channel state feedback,28
72,1831933153,an information theoretic perspective of the poisson approximation via the chen stein method,28
73,1838670769,a set and collection lemma,39
74,1839164722,learning economic parameters from revealed preferences,36
75,1844261290,towards adapting imagenet to reality scalable domain adaptation with implicit low rank transformations,16
76,1849650586,using multiple criteria methods to evaluate community partitions,26
77,1852713323,incremental adaptation strategies for neural network language models,13
78,1856665498,optimal point to point codes in interference channels an incremental i mmse approach,28
79,1859168105,a combined approach for constraints over finite domains and arrays,2
80,1860769804,optimization design and analysis of systematic lt codes over awgn channel,28
81,1867927193,truth and envy in capacitated allocation games,36
82,1869518888,smt based bounded model checking of fixed point digital controllers,19
83,1871136127,google matrix of business process management,3
84,1874862603,a combinatorial algebraic approach for the identifiability of low rank matrix completion,24
85,1890858171,iterated ld problem in non associative key establishment,4
86,1899741157,towards ontological support for principle solutions in mechanical engineering,23
87,1903515055,formation of robust multi agent networks through self organizing random regular graphs,11
88,1909770226,fully dynamic bin packing revisited,34
89,1912377242,throughput capacity of two hop relay manets under finite buffers,29
90,1913310022,bounds on the capacity of ask molecular communication channels with isi,28
